Video Name,Predicted Label,Title,Category,Label,True Label,Accuracy
ring_00769,0,ring_00769,Pet Monitoring,Normal,0,1
package_00067,0,package_00067,Security,Normal,0,1
package_00058,0,package_00058,Security,Normal,0,1
package_00020,0,package_00020,Security,Normal,0,1
ring_00218,0,ring_00218,Security,Vague Abnormal,1,0
ring_01175,0,ring_01175,Wildlife,Abnormal,1,0
ring_00172,0,ring_00172,Wildlife,Abnormal,1,0
ring_01120,0,ring_01120,Kid Monitoring,Normal,0,1
ring_00580,0,ring_00580,Security,Abnormal,1,0
ring_00495,0,ring_00495,Wildlife,Abnormal,1,0
ring_00663,0,ring_00663,Pet Monitoring,Normal,0,1
ring_00880,0,ring_00880,Wildlife,Abnormal,1,0
ring_00439,0,ring_00439,Security,Abnormal,1,0
ring_01377,0,ring_01377,Wildlife,Abnormal,1,0
ring_00313,0,ring_00313,Security,Abnormal,1,0
suppl_00007,0,suppl_00007,Baby Monitoring,Abnormal,1,0
Wyze_team_00013,0,Wyze_team_00013,Security,Normal,0,1
ring_01093,0,ring_01093,Pet Monitoring,Abnormal,1,0
ring_00789,0,ring_00789,Security,Abnormal,1,0
ring_00199,0,ring_00199,Wildlife,Abnormal,1,0
ring_01312,0,ring_01312,Kid Monitoring,Normal,0,1
ring_00689,0,ring_00689,Security,Abnormal,1,0
ring_00577,0,ring_00577,Wildlife,Abnormal,1,0
ring_00208,0,ring_00208,Security,Abnormal,1,0
ring_00671,0,ring_00671,Security,Normal,0,1
ring_00625,0,ring_00625,Wildlife,Normal,0,1
Wyze_team_00041,0,Wyze_team_00041,Security,Normal,0,1
wyze_00010,0,wyze_00010,Security,Normal,0,1
ring_00513,0,ring_00513,Security,Normal,0,1
ring_01304,0,ring_01304,Pet Monitoring,Normal,0,1
ring_00419,0,ring_00419,Security,Abnormal,1,0
ring_00787,0,ring_00787,Wildlife,Abnormal,1,0
ring_00328,0,ring_00328,"{""choices"":[""Security"",""Pet Monitoring""]}",Vague Abnormal,1,0
ring_00744,0,ring_00744,Security,Vague Abnormal,1,0
ring_00312,0,ring_00312,Security,Normal,0,1
ring_00845,0,ring_00845,Wildlife,Abnormal,1,0
ring_01000,0,ring_01000,Pet Monitoring,Abnormal,1,0
ring_00363,0,ring_00363,Security,Normal,0,1
ring_00421,0,ring_00421,Security,Normal,0,1
package_00040,0,package_00040,Security,Normal,0,1
Wyze_team_00062,0,Wyze_team_00062,Security,Normal,0,1
wyze_00015,0,wyze_00015,Other Category,Normal,0,1
Wyze_team_00047,0,Wyze_team_00047,Pet Monitoring,Normal,0,1
ring_00113,0,ring_00113,Wildlife,Abnormal,1,0
ring_00701,0,ring_00701,Pet Monitoring,Abnormal,1,0
ring_00627,0,ring_00627,Wildlife,Abnormal,1,0
ring_00661,0,ring_00661,Pet Monitoring,Normal,0,1
ring_00869,0,ring_00869,Security,Abnormal,1,0
wyze_00023,0,wyze_00023,Pet Monitoring,Abnormal,1,0
ring_00457,0,ring_00457,Wildlife,Abnormal,1,0
ring_01030,0,ring_01030,Pet Monitoring,Abnormal,1,0
ring_00644,0,ring_00644,Pet Monitoring,Normal,0,1
ring_00240,0,ring_00240,Wildlife,Abnormal,1,0
ring_00158,0,ring_00158,Security,Abnormal,1,0
ring_00964,0,ring_00964,Wildlife,Abnormal,1,0
ring_00189,0,ring_00189,Kid Monitoring,Normal,0,1
ring_00455,0,ring_00455,Wildlife,Abnormal,1,0
ring_00607,0,ring_00607,"{""choices"":[""Pet Monitoring"",""Kid Monitoring""]}",Normal,0,1
ring_00024,0,ring_00024,Security,Normal,0,1
Wyze_team_00036,0,Wyze_team_00036,Security,Normal,0,1
package_00071,0,package_00071,Security,Normal,0,1
ring_01400,0,ring_01400,Security,Abnormal,1,0
ring_00025,0,ring_00025,Pet Monitoring,Abnormal,1,0
ring_00136,0,ring_00136,Wildlife,Abnormal,1,0
ring_00121,0,ring_00121,Security,Vague Abnormal,1,0
package_00015,0,package_00015,Security,Normal,0,1
ring_00847,0,ring_00847,Kid Monitoring,Normal,0,1
Wyze_team_00027,0,Wyze_team_00027,Security,Normal,0,1
ring_00055,0,ring_00055,Security,Normal,0,1
package_00006,0,package_00006,Security,Normal,0,1
ring_00249,0,ring_00249,Pet Monitoring,Normal,0,1
ring_00354,0,ring_00354,Wildlife,Abnormal,1,0
ring_00400,0,ring_00400,Wildlife,Abnormal,1,0
ring_00273,0,ring_00273,Wildlife,Abnormal,1,0
ring_00633,0,ring_00633,"{""choices"":[""Security"",""Wildlife""]}",Abnormal,1,0
ring_00778,0,ring_00778,Wildlife,Abnormal,1,0
wyze_00034,0,wyze_00034,Wildlife,Normal,0,1
package_00045,0,package_00045,Security,Normal,0,1
ring_00675,0,ring_00675,Wildlife,Abnormal,1,0
ring_00865,0,ring_00865,Wildlife,Abnormal,1,0
ring_00530,0,ring_00530,Security,Normal,0,1
ring_00035,0,ring_00035,Security,Normal,0,1
ring_00911,0,ring_00911,Wildlife,Abnormal,1,0
ring_00567,0,ring_00567,Baby Monitoring,Normal,0,1
ring_00696,0,ring_00696,Security,Vague Abnormal,1,0
ring_01052,0,ring_01052,Security,Abnormal,1,0
ring_00011,0,ring_00011,Security,Abnormal,1,0
ring_00433,0,ring_00433,Pet Monitoring,Normal,0,1
ring_00228,0,ring_00228,Pet Monitoring,Abnormal,1,0
package_00049,0,package_00049,Security,Normal,0,1
ring_00684,0,ring_00684,Security,Normal,0,1
ring_00406,0,ring_00406,Wildlife,Abnormal,1,0
ring_00090,0,ring_00090,Wildlife,Abnormal,1,0
ring_00216,0,ring_00216,Pet Monitoring,Normal,0,1
ring_00462,0,ring_00462,Pet Monitoring,Abnormal,1,0
Wyze_team_00005,0,Wyze_team_00005,Security,Normal,0,1
ring_00198,0,ring_00198,Kid Monitoring,Normal,0,1
ring_00022,0,ring_00022,Security,Abnormal,1,0
ring_00710,0,ring_00710,Security,Vague Abnormal,1,0
ring_00141,0,ring_00141,"{""choices"":[""Wildlife"",""Pet Monitoring""]}",Abnormal,1,0
